task_0_flops,task_0_accuracy
11976576,0.54
23953152,0.52
35929728,0.47
47906304,0.51
59882880,0.49
71859456,0.5
83836032,0.48
95812608,0.49
107789184,0.53
119765760,0.52
131742336,0.56
143718912,0.54
155695488,0.47
167672064,0.49
179648640,0.38
191625216,0.51
203601792,0.44
215578368,0.57
227554944,0.44
239531520,0.53
251508096,0.42
263484672,0.53
275461248,0.39
287437824,0.53
299414400,0.43
311390976,0.48
323367552,0.48
335344128,0.62
347320704,0.47
359297280,0.45
371273856,0.5
383250432,0.41
395227008,0.52
407203584,0.48
419180160,0.47
431156736,0.43
443133312,0.55
455109888,0.44
467086464,0.51
479063040,0.56
491039616,0.6
503016192,0.44
514992768,0.54
526969344,0.5
538945920,0.47
550922496,0.54
562899072,0.49
574875648,0.58
586852224,0.57
598828800,0.43
610805376,0.45
622781952,0.54
634758528,0.5
646735104,0.48
658711680,0.47
670688256,0.52
682664832,0.56
694641408,0.53
706617984,0.53
718594560,0.5
730571136,0.48
742547712,0.51
754524288,0.53
766500864,0.54
778477440,0.54
790454016,0.53
802430592,0.46
814407168,0.53
826383744,0.44
838360320,0.49
850336896,0.43
862313472,0.55
874290048,0.49
886266624,0.46
898243200,0.49
910219776,0.49
922196352,0.51
934172928,0.55
946149504,0.46
958126080,0.52
970102656,0.47
982079232,0.44
994055808,0.43
1006032384,0.56
1018008960,0.46
1029985536,0.53
1041962112,0.58
1053938688,0.49
1065915264,0.55
1077891840,0.48
1089868416,0.44
1101844992,0.49
1113821568,0.45
1125798144,0.52
1137774720,0.38
1149751296,0.51
1161727872,0.5
1173704448,0.51
1185681024,0.47
1197657600,0.43
1209634176,0.37
1221610752,0.5
1233587328,0.55
1245563904,0.52
1257540480,0.44
1269517056,0.45
1281493632,0.45
1293470208,0.52
1305446784,0.48
1317423360,0.46
1329399936,0.5
1341376512,0.47
1353353088,0.55
1365329664,0.47
1377306240,0.48
1389282816,0.42
1401259392,0.62
1413235968,0.5
1425212544,0.52
1437189120,0.53
1449165696,0.57
1461142272,0.49
1473118848,0.55
1485095424,0.53
1497072000,0.56
1509048576,0.62
1521025152,0.56
1533001728,0.55
1544978304,0.65
1556954880,0.59
1568931456,0.6
1580908032,0.71
1592884608,0.83
1604861184,0.84
1616837760,0.78
1628814336,0.83
1640790912,0.84
1652767488,0.89
1664744064,0.8
1676720640,0.9
1688697216,0.92
1700673792,0.96
1712650368,0.9
1724626944,0.96
1736603520,0.98
1748580096,0.95
1760556672,0.94
1772533248,0.94
1784509824,0.99
1796486400,0.98
1808462976,0.94
1820439552,0.97
1832416128,0.96
1844392704,0.93
1856369280,0.99
1868345856,0.92
1880322432,0.97
1892299008,0.99
1904275584,0.99
1916252160,0.64
1928228736,0.98
1940205312,1.0
1952181888,0.99
1964158464,0.99
1976135040,1.0
1988111616,1.0
2000088192,1.0
2012064768,1.0
2024041344,0.86
2036017920,1.0
2047994496,1.0
2059971072,1.0
2071947648,0.85
2083924224,0.98
2095900800,0.96
2107877376,1.0
2119853952,0.98
2131830528,1.0
2143807104,0.88
2155783680,1.0
2167760256,1.0
2179736832,1.0
2191713408,1.0
2203689984,1.0
2215666560,1.0
2227643136,0.85
2239619712,1.0
2251596288,1.0
2263572864,1.0
2275549440,1.0
2287526016,0.92
2299502592,1.0
2311479168,1.0
2323455744,1.0
2335432320,0.7
2347408896,1.0
2359385472,1.0
2371362048,1.0
2383338624,0.99
2395315200,0.95
2407291776,1.0
2419268352,0.74
2431244928,1.0
2443221504,1.0
2455198080,1.0
2467174656,1.0
2479151232,1.0
2491127808,1.0
2503104384,1.0
2515080960,1.0
2527057536,1.0
2539034112,1.0
2551010688,1.0
2562987264,1.0
2574963840,1.0
2586940416,1.0
2598916992,0.87
2610893568,1.0
2622870144,1.0
2634846720,1.0
2646823296,1.0
2658799872,1.0
2670776448,0.46
2682753024,0.99
2694729600,1.0
2706706176,1.0
2718682752,0.88
2730659328,1.0
2742635904,1.0
2754612480,1.0
2766589056,1.0
2778565632,0.98
2790542208,0.99
2802518784,1.0
2814495360,1.0
2826471936,0.61
2838448512,1.0
2850425088,0.8
2862401664,1.0
2874378240,1.0
2886354816,0.96
2898331392,1.0
2910307968,1.0
2922284544,0.98
2934261120,0.58
2946237696,1.0
2958214272,0.84
2970190848,1.0
2982167424,1.0
2994144000,0.85
3006120576,1.0
3018097152,1.0
3030073728,1.0
3042050304,1.0
3054026880,1.0
3066003456,1.0
3077980032,1.0
3089956608,1.0
3101933184,0.77
3113909760,1.0
3125886336,0.66
3137862912,1.0
3149839488,1.0
3161816064,0.95
3173792640,1.0
3185769216,1.0
3197745792,1.0
3209722368,1.0
3221698944,1.0
3233675520,1.0
3245652096,1.0
3257628672,0.87
3269605248,0.88
3281581824,1.0
3293558400,1.0
3305534976,1.0
3317511552,1.0
3329488128,1.0
3341464704,1.0
3353441280,1.0
3365417856,1.0
3377394432,1.0
3389371008,1.0
3401347584,1.0
3413324160,1.0
3425300736,1.0
3437277312,1.0
3449253888,1.0
3461230464,0.56
3473207040,1.0
3485183616,1.0
3497160192,1.0
3509136768,1.0
3521113344,1.0
3533089920,1.0
3545066496,1.0
3557043072,0.58
3569019648,1.0
3580996224,1.0
3592972800,0.83
3604949376,1.0
3616925952,1.0
3628902528,0.93
3640879104,0.4
3652855680,1.0
3664832256,1.0
3676808832,1.0
3688785408,0.98
3700761984,0.62
3712738560,1.0
3724715136,0.87
3736691712,1.0
3748668288,0.98
3760644864,1.0
3772621440,1.0
3784598016,1.0
3796574592,0.93
3808551168,1.0
3820527744,1.0
3832504320,1.0
3844480896,1.0
3856457472,0.98
3868434048,1.0
3880410624,1.0
3892387200,1.0
3904363776,1.0
3916340352,1.0
3928316928,1.0
3940293504,1.0
3952270080,1.0
3964246656,1.0
3976223232,1.0
3988199808,1.0
4000176384,1.0
4012152960,1.0
4024129536,1.0
4036106112,1.0
4048082688,1.0
4060059264,1.0
4072035840,0.78
4084012416,1.0
4095988992,1.0
4107965568,1.0
4119942144,1.0
4131918720,1.0
4143895296,1.0
4155871872,0.75
4167848448,1.0
4179825024,1.0
4191801600,1.0
4203778176,0.92
4215754752,1.0
4227731328,0.9
4239707904,0.95
4251684480,1.0
4263661056,1.0
4275637632,0.92
4287614208,1.0
4299590784,0.99
4311567360,1.0
4323543936,1.0
4335520512,0.64
4347497088,1.0
4359473664,1.0
4371450240,1.0
4383426816,0.94
4395403392,1.0
4407379968,1.0
4419356544,1.0
4431333120,1.0
4443309696,1.0
4455286272,0.97
4467262848,1.0
4479239424,1.0
4491216000,1.0
4503192576,1.0
4515169152,0.95
4527145728,0.97
4539122304,1.0
4551098880,1.0
4563075456,1.0
4575052032,1.0
4587028608,1.0
4599005184,1.0
4610981760,0.89
4622958336,1.0
4634934912,1.0
4646911488,1.0
4658888064,1.0
4670864640,0.89
4682841216,1.0
4694817792,0.92
4706794368,1.0
4718770944,1.0
4730747520,1.0
4742724096,1.0
4754700672,1.0
4766677248,1.0
4778653824,1.0
4790630400,1.0
4802606976,1.0
4814583552,1.0
4826560128,0.95
4838536704,1.0
4850513280,1.0
4862489856,1.0
4874466432,1.0
4886443008,1.0
