model_config,flops,task_0_flops,task_0_accuracy
2x8,300002026112,1000384384,0.52
2x8,300002026112,2000768768,0.55
2x8,300002026112,3001153152,0.55
2x8,300002026112,4001537536,0.5
2x8,300002026112,5001921920,0.48
2x8,300002026112,6002306304,0.61
2x8,300002026112,7002690688,0.52
2x8,300002026112,8003075072,0.52
2x8,300002026112,9003459456,0.51
2x8,300002026112,10003843840,0.44
2x8,300002026112,11004228224,0.46
2x8,300002026112,12004612608,0.49
2x8,300002026112,13004996992,0.53
2x8,300002026112,14005381376,0.47
2x8,300002026112,15005765760,0.56
2x8,300002026112,16006150144,0.52
2x8,300002026112,17006534528,0.73
2x8,300002026112,18006918912,0.75
2x8,300002026112,19007303296,0.88
2x8,300002026112,20007687680,0.79
2x8,300002026112,21008072064,0.98
2x8,300002026112,22008456448,0.88
2x8,300002026112,23008840832,0.8
2x8,300002026112,24009225216,0.85
2x8,300002026112,25009609600,0.82
2x8,300002026112,26009993984,0.88
2x8,300002026112,27010378368,0.87
2x8,300002026112,28010762752,0.98
2x8,300002026112,29011147136,0.87
2x8,300002026112,30011531520,0.96
2x8,300002026112,31011915904,1.0
2x8,300002026112,32012300288,0.9
2x8,300002026112,33012684672,0.94
2x8,300002026112,34013069056,0.83
2x8,300002026112,35013453440,0.97
2x8,300002026112,36013837824,0.77
2x8,300002026112,37014222208,1.0
2x8,300002026112,38014606592,0.96
2x8,300002026112,39014990976,0.93
2x8,300002026112,40015375360,0.84
2x8,300002026112,41015759744,0.98
2x8,300002026112,42016144128,0.77
2x8,300002026112,43016528512,0.99
2x8,300002026112,44016912896,0.81
2x8,300002026112,45017297280,0.87
2x8,300002026112,46017681664,1.0
2x8,300002026112,47018066048,0.78
2x8,300002026112,48018450432,0.97
2x8,300002026112,49018834816,0.88
2x8,300002026112,50019219200,0.83
2x8,300002026112,51019603584,0.98
2x8,300002026112,52019987968,0.86
2x8,300002026112,53020372352,0.79
2x8,300002026112,54020756736,0.89
2x8,300002026112,55021141120,0.87
2x8,300002026112,56021525504,0.95
2x8,300002026112,57021909888,0.96
2x8,300002026112,58022294272,0.98
2x8,300002026112,59022678656,0.98
2x8,300002026112,60023063040,0.93
2x8,300002026112,61023447424,0.85
2x8,300002026112,62023831808,0.88
2x8,300002026112,63024216192,0.96
2x8,300002026112,64024600576,0.8
2x8,300002026112,65024984960,0.98
2x8,300002026112,66025369344,0.78
2x8,300002026112,67025753728,0.87
2x8,300002026112,68026138112,0.95
2x8,300002026112,69026522496,0.99
2x8,300002026112,70026906880,0.97
2x8,300002026112,71027291264,0.97
2x8,300002026112,72027675648,0.89
2x8,300002026112,73028060032,0.99
2x8,300002026112,74028444416,0.91
2x8,300002026112,75028828800,0.96
