flops,loss,accuracy,model_config
842006528,0.7002163815498352,0.528,10x128
1684013056,0.7049333181381225,0.495,10x128
2561179520,0.7017064881324768,0.517,10x128
3403186048,0.696172954082489,0.473,10x128
4280352512,0.707103033542633,0.493,10x128
5122359040,0.7039282450675964,0.482,10x128
5999525504,0.6942457761764527,0.516,10x128
6841532032,0.6988008069992065,0.509,10x128
7718698496,0.702647057056427,0.497,10x128
8560705024,0.6988154926300049,0.492,10x128
9437871488,0.6947022342681884,0.485,10x128
10279878016,0.6955096244812011,0.495,10x128
11157044480,0.6927644305229187,0.471,10x128
11999051008,0.6997208409309387,0.523,10x128
12876217472,0.698752079963684,0.521,10x128
13718224000,0.6964213151931763,0.504,10x128
14595390464,0.6944146790504455,0.497,10x128
15437396992,0.6918760566711426,0.513,10x128
16314563456,0.6927896771430969,0.49,10x128
17156569984,0.7002373847961426,0.521,10x128
18033736448,0.6995849647521972,0.493,10x128
18875742976,0.6913866939544677,0.498,10x128
19752909440,0.6942135667800904,0.527,10x128
20594915968,0.6936365394592285,0.51,10x128
21472082432,0.6909574303627014,0.502,10x128
22314088960,0.6937882866859436,0.513,10x128
23191255424,0.6907985229492187,0.49,10x128
24033261952,0.6952971496582031,0.493,10x128
24910428416,0.6978376092910766,0.527,10x128
25752434944,0.6968973803520203,0.488,10x128
26629601408,0.6935085783004761,0.507,10x128
27471607936,0.6907546772956848,0.489,10x128
28348774400,0.6932151203155518,0.505,10x128
29190780928,0.6917366199493408,0.487,10x128
30067947392,0.6977848448753357,0.463,10x128
30909953920,0.6974169325828552,0.515,10x128
31787120384,0.6846176500320434,0.494,10x128
32629126912,0.6929347658157349,0.489,10x128
33506293376,0.6918898048400879,0.499,10x128
34348299904,0.6957784032821656,0.499,10x128
35225466368,0.6913957991600037,0.513,10x128
36067472896,0.6942706108093262,0.505,10x128
36944639360,0.6872957701683045,0.532,10x128
37786645888,0.6928564710617066,0.48,10x128
38663812352,0.6863118543624878,0.492,10x128
39505818880,0.6958638019561768,0.477,10x128
40382985344,0.690620244026184,0.511,10x128
41224991872,0.6915941052436828,0.486,10x128
42102158336,0.6886427092552185,0.495,10x128
42944164864,0.6837178010940552,0.512,10x128
43821331328,0.6896536149978638,0.494,10x128
44663337856,0.6889039759635925,0.496,10x128
45540504320,0.6817147903442383,0.5,10x128
46382510848,0.6838818283081055,0.518,10x128
47259677312,0.6791927909851074,0.533,10x128
48101683840,0.6763176474571228,0.512,10x128
48978850304,0.6863387498855591,0.496,10x128
49820856832,0.6749959907531738,0.512,10x128
50698023296,0.6811822986602784,0.508,10x128
51540029824,0.6844921884536743,0.5,10x128
52417196288,0.6744144349098206,0.495,10x128
53259202816,0.6724341340065002,0.515,10x128
54136369280,0.6664583969116211,0.528,10x128
54978375808,0.6703240261077881,0.512,10x128
55855542272,0.6577144470214844,0.523,10x128
56697548800,0.6747893495559693,0.526,10x128
57574715264,0.6681013560295105,0.501,10x128
58416721792,0.6583098363876343,0.551,10x128
59293888256,0.6547468671798706,0.536,10x128
60135894784,0.6499180493354797,0.538,10x128
61013061248,0.6470463938713074,0.551,10x128
61855067776,0.6342378692626953,0.553,10x128
62732234240,0.612803300857544,0.574,10x128
63574240768,0.6192860736846924,0.596,10x128
64451407232,0.5982495079040527,0.608,10x128
65293413760,0.5825540781021118,0.624,10x128
66170580224,0.5661762952804565,0.666,10x128
67012586752,0.5377808923721313,0.687,10x128
67889753216,0.5003109560012817,0.74,10x128
68731759744,0.46988303995132447,0.776,10x128
69608926208,0.4439345440864563,0.804,10x128
70450932736,0.4294222857952118,0.793,10x128
71328099200,0.3450983066558838,0.865,10x128
72170105728,0.29311132001876833,0.908,10x128
73047272192,0.2967683725357056,0.903,10x128
73889278720,0.31138594341278075,0.876,10x128
74766445184,0.23835370779037476,0.929,10x128
75608451712,0.21836034977436067,0.929,10x128
76485618176,0.2048060964345932,0.93,10x128
77327624704,0.20504724621772766,0.932,10x128
78204791168,0.1719882595539093,0.944,10x128
79046797696,0.14222294068336486,0.96,10x128
79923964160,0.1528570568561554,0.951,10x128
80765970688,0.14031621956825258,0.957,10x128
81643137152,0.12887173128128052,0.962,10x128
82485143680,0.1658685930967331,0.942,10x128
83362310144,0.14314090812206268,0.95,10x128
84204316672,0.14585362577438354,0.954,10x128
85081483136,0.16583625209331512,0.945,10x128
85923489664,0.13901963186264038,0.962,10x128
86800656128,0.1487708631157875,0.949,10x128
87642662656,0.14896834790706634,0.952,10x128
88519829120,0.0832343738079071,0.981,10x128
89361835648,0.10498414099216462,0.966,10x128
90239002112,0.08160391920804977,0.972,10x128
91081008640,0.09157795870304107,0.975,10x128
91958175104,0.08830252456665039,0.972,10x128
92800181632,0.12573026263713838,0.951,10x128
93677348096,0.1286147438287735,0.961,10x128
94519354624,0.10461056321859359,0.97,10x128
95396521088,0.07646773552894592,0.982,10x128
96238527616,0.09368909168243408,0.972,10x128
97115694080,0.14472527718544007,0.945,10x128
97957700608,0.1337249135375023,0.955,10x128
98834867072,0.11200055116415024,0.962,10x128
99676873600,0.11221127182245255,0.964,10x128
100554040064,0.08771197998523712,0.972,10x128
101396046592,0.0675100900530815,0.985,10x128
